year,team_name,team_iso,country_iso3,confederation,host,elo_pre_tournament,market_value_eur,log_market_value,avg_age,avg_caps,caps_coverage,pct_top5_leagues,pct_playing_abroad,club_cohesion,n_clubs,squad_size,federation_founded,federation_age,titles_before,finals_before,participations_before,qual_rate_last5,qual_rate_last10,final_performance,team_code
1958,Yugoslavia,YUG,YUG,UEFA,0,1758.1273033886248,,,26.028622985501837,15.5,1.0,0.0,0.0,0.22727272727272727,7.0,22.0,1919,39,0,0,3,0.6,0.6,quarter-finals,YUG
1962,Argentina,ARG,ARG,CONMEBOL,0,1825.097306210817,,,25.805239250824467,10.409090909090908,1.0,0.0,0.0,0.2727272727272727,7.0,22.0,1893,69,0,1,3,0.4,0.5,group stage,ARG
1962,Brazil,BRA,BRA,CONMEBOL,0,1952.656813329716,,,27.9530831933296,25.772727272727273,1.0,0.0,0.0,0.3181818181818182,7.0,22.0,1914,48,1,2,6,1.0,1.0,final,BRA
1962,Bulgaria,BGR,BGR,UEFA,0,1581.1315733495496,,,25.211498973305957,17.0,1.0,0.0,0.0,0.3181818181818182,8.0,22.0,1923,39,0,0,0,0.0,0.0,group stage,BGR
1962,Chile,CHL,CHL,CONMEBOL,1,1600.000847536109,,,25.830626594486965,14.863636363636363,1.0,0.0,0.0,0.36363636363636365,7.0,22.0,1895,67,0,0,2,0.2,0.3333333333333333,third-place match,CHL
1962,Colombia,COL,COL,CONMEBOL,0,1349.7885298474805,,,26.21168564495053,5.181818181818182,1.0,0.0,0.0,0.22727272727272727,9.0,22.0,1924,38,0,0,0,0.0,0.0,group stage,COL
1962,Czechoslovakia,TCH,CSK,UEFA,0,1802.7062035044669,,,26.2304772571713,15.318181818181818,1.0,0.0,0.0,0.3181818181818182,11.0,22.0,1901,61,0,1,4,0.8,0.6666666666666666,final,CSK
1962,England,ENG,GBR,UEFA,0,1769.9344825616467,,,26.507000186671643,14.636363636363637,1.0,1.0,0.045454545454545414,0.13636363636363635,17.0,22.0,1863,99,0,0,3,0.6,0.5,quarter-finals,ENG
1962,Hungary,HUN,HUN,UEFA,0,1795.1235858596865,,,25.462136768091593,20.545454545454547,1.0,0.0,0.0,0.22727272727272727,9.0,22.0,1901,61,0,2,4,0.8,0.6666666666666666,quarter-finals,HUN
1962,Italy,ITA,ITA,UEFA,0,1716.9303981064909,,,25.171675689129486,3.5454545454545454,1.0,1.0,0.0,0.3181818181818182,10.0,22.0,1898,64,2,2,4,0.8,0.6666666666666666,group stage,ITA
1962,Mexico,MEX,MEX,CONCACAF,0,1672.0172753089482,,,26.666014797431632,13.318181818181818,1.0,0.0,0.0,0.3181818181818182,10.0,22.0,1922,40,0,0,4,0.6,0.6666666666666666,group stage,MEX
1962,Soviet Union,URS,SUN,UEFA,0,1881.569528604643,,,25.873436624976662,13.272727272727273,1.0,0.0,1.0,0.2727272727272727,8.0,22.0,1934,28,0,0,1,0.2,0.16666666666666666,quarter-finals,SUN
1962,Spain,ESP,ESP,UEFA,0,1794.1933697266377,,,27.996017671582354,10.272727272727273,1.0,1.0,0.045454545454545414,0.3181818181818182,6.0,22.0,1909,53,0,0,2,0.4,0.3333333333333333,group stage,ESP
1962,Switzerland,CHE,CHE,UEFA,0,1569.0465126736854,,,28.617012009209134,13.681818181818182,1.0,0.13636363636363635,0.13636363636363635,0.2727272727272727,11.0,22.0,1895,67,0,0,4,0.8,0.6666666666666666,group stage,CHE
1962,Uruguay,URY,URY,CONMEBOL,0,1756.4242289365482,,,25.073486404081883,12.454545454545455,1.0,0.0,0.0,0.4090909090909091,7.0,22.0,1900,62,2,2,3,0.4,0.5,group stage,URY
1962,West Germany,FRG,DEU,UEFA,0,1734.8473943942952,,,25.850040445522993,12.727272727272727,1.0,1.0,1.0,0.18181818181818182,15.0,22.0,1900,62,1,1,2,0.4,0.3333333333333333,quarter-finals,DEU
1962,Yugoslavia,YUG,YUG,UEFA,0,1843.7692083805491,,,25.766660444278514,11.727272727272727,1.0,0.0,0.0,0.22727272727272727,9.0,22.0,1919,43,0,0,4,0.6,0.6666666666666666,third-place match,YUG
1966,Argentina,ARG,ARG,CONMEBOL,0,1818.8803439169485,,,26.66517329351005,10.681818181818182,1.0,0.0,0.0,0.2727272727272727,7.0,22.0,1893,73,0,1,4,0.4,0.5714285714285714,quarter-finals,ARG
1966,Brazil,BRA,BRA,CONMEBOL,0,1860.275699091745,,,26.81550619127621,25.454545454545453,1.0,0.0,0.0,0.2727272727272727,11.0,22.0,1914,52,2,3,7,1.0,1.0,group stage,BRA
1966,Bulgaria,BGR,BGR,UEFA,0,1659.5964458047445,,,26.65123514404829,19.40909090909091,1.0,0.0,0.0,0.22727272727272727,7.0,22.0,1923,43,0,0,1,0.2,0.14285714285714285,group stage,BGR
1966,Chile,CHL,CHL,CONMEBOL,0,1620.8807928297676,,,25.929935909402026,20.0,1.0,0.0,0.0,0.5,6.0,22.0,1895,71,0,0,3,0.4,0.42857142857142855,group stage,CHL
1966,England,ENG,GBR,UEFA,1,1836.1128819502685,,,27.151141808225997,23.0,1.0,1.0,0.0,0.13636363636363635,14.0,22.0,1863,103,0,0,4,0.8,0.5714285714285714,final,ENG
1966,France,FRA,FRA,UEFA,0,1619.873857235259,,,26.25486901872939,7.2727272727272725,1.0,1.0,0.09090909090909094,0.18181818181818182,13.0,22.0,1919,47,0,0,5,0.6,0.7142857142857143,group stage,FRA
1966,Hungary,HUN,HUN,UEFA,0,1812.505422687511,,,26.484101798270174,23.90909090909091,1.0,0.0,0.0,0.2727272727272727,7.0,22.0,1901,65,0,2,5,0.8,0.7142857142857143,quarter-finals,HUN
1966,Italy,ITA,ITA,UEFA,0,1823.237533000428,,,25.90255740153071,10.181818181818182,1.0,1.0,0.0,0.22727272727272727,10.0,22.0,1898,68,2,2,5,0.8,0.7142857142857143,group stage,ITA
1966,Mexico,MEX,MEX,CONCACAF,0,1781.646162148805,,,25.598158173106835,15.590909090909092,1.0,0.0,0.0,0.22727272727272727,10.0,22.0,1922,44,0,0,5,0.8,0.7142857142857143,group stage,MEX
1966,North Korea,PRK,PRK,AFC,0,1704.1884870943984,,,22.936718312488335,0.0,0.7727272727272727,0.0,0.0,0.2727272727272727,6.0,22.0,1945,21,0,0,0,0.0,0.0,quarter-finals,PRK
1966,Portugal,PRT,PRT,UEFA,0,1662.9263512538594,,,27.649057308194884,12.954545454545455,1.0,0.0,0.0,0.36363636363636365,6.0,22.0,1914,52,0,0,0,0.0,0.0,third-place match,PRT
1966,Soviet Union,URS,SUN,UEFA,0,1862.5386412679889,,,26.36749424429096,16.272727272727273,1.0,0.0,1.0,0.22727272727272727,10.0,22.0,1934,32,0,0,2,0.4,0.2857142857142857,third-place match,SUN
1966,Spain,ESP,ESP,UEFA,0,1735.2461038184565,,,26.915811088295687,10.818181818181818,1.0,1.0,0.13636363636363635,0.2727272727272727,8.0,22.0,1909,57,0,0,3,0.4,0.42857142857142855,group stage,ESP
1966,Switzerland,CHE,CHE,UEFA,0,1509.4858378452436,,,27.156244166511105,11.636363636363637,1.0,0.0,0.0,0.3181818181818182,9.0,22.0,1895,71,0,0,5,0.8,0.7142857142857143,group stage,CHE
1966,Uruguay,URY,URY,CONMEBOL,0,1703.8317681856113,,,26.537489888619255,14.363636363636363,1.0,0.0,0.0,0.4090909090909091,6.0,22.0,1900,66,2,2,4,0.6,0.5714285714285714,quarter-finals,URY
1966,West Germany,FRG,DEU,UEFA,0,1806.2113779378424,,,25.628772322817497,13.409090909090908,1.0,1.0,1.0,0.18181818181818182,12.0,22.0,1900,66,1,1,3,0.6,0.42857142857142855,final,DEU
1970,Belgium,BEL,BEL,UEFA,0,1642.1693894807622,,,26.26196254122332,12.272727272727273,1.0,0.0,0.0,0.3181818181818182,8.0,22.0,1895,75,0,0,4,0.2,0.5,group stage,BEL
