player,team,exp_g_match,is_taker,exp_goals,p_gb
Jamshid Iskanderov,Uzbekistan,0.0826666666666666,False,0.2493,0.0
Odiljon Hamrobekov,Uzbekistan,0.0826666666666666,False,0.24885,0.0
Jaloliddin Masharipov,Uzbekistan,0.0826666666666666,False,0.252,0.0
Oston Urunov,Uzbekistan,0.0826666666666666,False,0.24485,0.0
Eldor Shomurodov (captain),Uzbekistan,0.1916199941464973,False,0.57695,0.0
Gonçalo Guedes,Portugal,0.1545712230450286,False,0.83925,0.0
Abdul Rahman Baba,Ghana,0.0721989657797727,False,0.30165,0.0
Iñaki Williams,Ghana,0.2351767826134797,False,0.98725,0.0
Augustine Boakye,Ghana,0.1708955587121101,False,0.7195,0.0
Kojo Peprah Oppong,Ghana,0.0466295041165958,False,0.1956,0.0
Kamaldeen Sulemana,Ghana,0.0752105028668561,False,0.31915,0.0
Derrick Luckassen,Ghana,0.0560925323424745,False,0.23605,0.0
Ernest Nuamah,Ghana,0.1832104607566956,False,0.7632,0.0
Prince Kwabena Adu,Ghana,0.2333333333333333,False,0.98545,0.0
César Blackman,Panama,0.0595521460364127,False,0.17565,0.0
Edgardo Fariña,Panama,0.0409309813170622,False,0.11985,0.0
Marco Pašalić,Croatia,0.2333333333333333,False,1.0507,0.0
José Luis Rodríguez,Panama,0.0826666666666666,False,0.24735,0.0
Adalberto Carrasquilla,Panama,0.0826666666666666,False,0.24525,0.0
Tomás Rodríguez,Panama,0.2333333333333333,False,0.70455,0.0
Ismael Díaz,Panama,0.0826666666666666,False,0.24275,0.0
Yoel Bárcenas,Panama,0.1024435263050984,False,0.30445,0.0
Eric Davis,Panama,0.0402430326299237,False,0.1199,0.0
José Fajardo,Panama,0.2383770153289204,False,0.6987,0.0
Cecilio Waterman,Panama,0.2333333333333333,False,0.6998,0.0
Alberto Quintero,Panama,0.0826666666666666,False,0.25015,0.0
Aníbal Godoy (captain),Panama,0.0826666666666666,False,0.2511,0.0
César Yanis,Panama,0.0826666666666666,False,0.2491,0.0
Cristian Martínez,Panama,0.0826666666666666,False,0.24765,0.0
Martin Erlić,Croatia,0.0726587711944426,False,0.32695,0.0
Petar Musa,Croatia,0.2333333333333333,False,2.0489,0.0
Ezri Konsa,England,0.0488503604390973,False,0.2866,0.0
Nico O'Reilly,England,0.1270072642646773,False,0.72835,0.0
Declan Rice,England,0.1062199334171317,False,0.61525,0.0
John Stones,England,0.060915329600612,False,0.35735,0.0
Marc Guéhi,England,0.0674053381375276,False,0.39845,0.0
Elliot Anderson,England,0.0645488304664588,False,0.37415,0.0
Marcus Rashford,England,0.2014217423823161,False,2.17025,0.0
Jordan Henderson,England,0.0476866701421009,False,0.28335,0.0
Kobbie Mainoo,England,0.0460557836022383,False,0.26605,0.0
Christopher Bonsu Baah,Ghana,0.1876027217918104,False,0.7746,0.0
Noni Madueke,England,0.217093747781753,False,1.26685,0.0
