team,no,pos,player,birth_date,age,caps,goals,club,club_country,nn,mins,op_rate90,pen_per90,role,g,npxg,sh90,mn,exp_min,exp_shots_match,is_taker,pen_rate90,exp_g90,exp_g_match
Sweden,13,MF,Ken Sema,1993-09-30,32,33,5,Pafos,Cyprus,ken sema,354.0,0.0386750619191753,0.0,DEF,0.0,0.0,0.31220078456955724,354.0,46.0,0.15956928989110702,False,0.0,0.0386750619191753,0.01976725386980071
Sweden,14,DF,Hjalmar Ekdal,1998-10-21,27,13,0,Burnley,England,hjalmar ekdal,1975.0,0.029630736387581656,0.0,DEF,0.0,0.32,0.40381642834375325,1975.0,72.96296296296296,0.3273738122786806,False,0.0,0.029630736387581656,0.02402162579569377
Sweden,15,DF,Carl Starfelt,1995-06-01,31,18,0,Celta Vigo,Spain,carl starfelt,6845.0,0.0398683340515468,0.0,DEF,3.0,2.72,0.3307302373605363,6845.0,80.41176470588235,0.2954955780861785,False,0.0,0.0398683340515468,0.035620923299649984
Sweden,16,MF,Jesper Karlström,1995-06-21,30,25,0,Udinese,Italy,jesper karlstrom,6341.0,0.044012328376959446,0.0,MID,1.0,1.56,0.5190903815811717,6341.0,84.10958904109589,0.48511642966642227,False,0.0,0.044012328376959446,0.04113176502808691
Sweden,17,FW,Viktor Gyökeres,1998-06-04,28,33,20,Arsenal,England,viktor gyokeres,4372.0,0.4023505029990253,0.14595150960658737,FWD,30.0,20.85,2.6050099506289515,4372.0,70.22727272727273,2.0326971584453184,True,0.15156502920684076,0.5539155322058661,0.43222196831215315
Sweden,18,MF,Yasin Ayari,2003-10-06,22,21,3,Brighton & Hove Albion,England,yasin ayari,3890.0,0.12093274847487473,0.0,MID,5.0,5.17,1.5808057992883369,3890.0,63.33333333333333,1.1124188957954961,False,0.0,0.12093274847487473,0.08510082300083777
Sweden,19,MF,Mattias Svanberg,1999-01-05,27,41,2,VfL Wolfsburg,Germany,mattias svanberg,3800.0,0.18132704240524128,0.0,MID,7.0,9.23,1.9395251555229402,3800.0,59.565217391304344,1.28364708360697,False,0.0,0.18132704240524128,0.12000871888656064
Sweden,20,DF,Eric Smith,1997-01-08,29,2,0,FC St. Pauli,Germany,eric smith,5143.0,0.04229583647554498,0.0,DEF,3.0,2.0100000000000002,0.6292770053030463,5143.0,83.89830508474577,0.5866141574858906,False,0.0,0.04229583647554498,0.0394283221382199
Sweden,21,DF,Alexander Bernhardsson,1998-09-08,27,11,0,Holstein Kiel,Germany,alexander bernhardsson,1271.0,0.2325984649195889,0.0,MID,7.0,4.14,1.8016092256133855,1271.0,71.31578947368422,1.4275909360854606,False,0.0,0.2325984649195889,0.18431047951230586
Sweden,22,MF,Besfort Zeneli,2002-11-21,23,8,0,Union Saint-Gilloise,Belgium,besfort zeneli,598.0,0.08846722583682894,0.0,MID,0.0,0.15,0.6246603830641247,598.0,62.0,0.4303215972219526,False,0.0,0.08846722583682894,0.06094408890981549
Sweden,23,GK,Kristoffer Nordfeldt,1989-06-23,36,21,0,AIK,Sweden,kristoffer nordfeldt,,0.0,0.0,,,,0.0,0.0,90.0,0.0,False,0.0,0.0,0.0
Sweden,24,DF,Elliot Stroud,2002-06-22,23,1,0,Mjällby AIF,Sweden,elliot stroud,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Sweden,25,FW,Gustaf Nilsson,1997-05-23,29,10,4,Club Brugge,Belgium,gustaf nilsson,724.0,0.31438126316024245,0.09820441988950276,FWD,2.0,3.49,2.7369991571736136,724.0,52.5,1.596582841684608,False,0.0,0.31438126316024245,0.1833890701768081
Sweden,26,FW,Taha Ali,1998-07-01,27,2,0,Malmö FF,Sweden,taha ali,,0.3,0.0,,,,2.2,0.0,70.0,1.7111111111111112,False,0.0,0.3,0.23333333333333334
Tunisia,1,GK,Mouhib Chamakh,2001-08-25,24,2,0,Club Africain,Tunisia,mouhib chamakh,,0.0,0.0,,,,0.0,0.0,90.0,0.0,False,0.0,0.0,0.0
Tunisia,2,DF,Ali Abdi,1993-12-20,32,46,7,Nice,France,ali abdi,3103.0,0.16108745990499443,0.0,DEF,8.0,7.5200000000000005,1.363820779723553,3103.0,60.3448275862069,0.9144392201211563,False,0.0,0.16108745990499443,0.10800883326963227
Tunisia,3,DF,Montassar Talbi,1998-05-26,28,64,4,Lorient,France,montassar talbi,4815.0,0.02789806953114402,0.0,DEF,0.0,1.26,0.3735094415811911,4815.0,85.0,0.35275891704890266,False,0.0,0.02789806953114402,0.026348176779413795
Tunisia,4,DF,Omar Rekik,2001-12-20,24,6,0,Maribor,Slovenia,omar rekik,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,5,DF,Adem Arous,2004-07-17,21,2,0,Kasımpaşa,Turkey,adem arous,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,6,DF,Dylan Bronn,1995-06-19,30,52,2,Servette,Switzerland,dylan bronn,50.0,0.05,0.0,DEF,0.0,0.03,0.763198439469912,50.0,72.0,0.6105587515759296,False,0.0,0.05,0.04000000000000001
Tunisia,7,FW,Elias Achouri,1999-02-10,27,30,4,Copenhagen,Denmark,elias achouri,1324.0,0.1106593458543903,0.0,MID,1.0,1.55,1.6380193865649835,1324.0,69.52380952380952,1.2653483091983468,False,0.0,0.1106593458543903,0.08548288092455547
Tunisia,8,FW,Elias Saad,1999-12-27,26,15,4,Hannover 96,Germany,elias saad,1400.0,0.2637669354209722,0.0,FWD,3.0,3.35,2.197106299077385,1400.0,59.46428571428571,1.4516595190332722,False,0.0,0.2637669354209722,0.17427458233171375
Tunisia,9,FW,Hazem Mastouri,1997-06-18,28,19,4,Dynamo Makhachkala,Russia,hazem mastouri,,0.3,0.0,,,,2.2,0.0,70.0,1.7111111111111112,False,0.0,0.3,0.23333333333333334
Tunisia,10,MF,Hannibal Mejbri,2003-01-21,23,45,1,Burnley,England,hannibal mejbri,1523.0,0.1005242611672961,0.0,MID,2.0,0.94,1.273725250650787,1523.0,49.25,0.6970107621616808,False,0.0,0.1005242611672961,0.05500910958321482
Tunisia,11,MF,Ismaël Gharbi,2004-04-10,22,17,2,FC Augsburg,Germany,ismael gharbi,414.0,0.10635122341715043,0.0,MID,0.0,0.56,1.9359491562990074,414.0,35.0,0.752869116338503,False,0.0,0.10635122341715043,0.041358809106669614
Tunisia,12,DF,Mortadha Ben Ouanes,1994-07-02,31,18,0,Kasımpaşa,Turkey,mortadha ben ouanes,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,13,MF,Rani Khedira,1994-01-27,32,3,0,Union Berlin,Germany,rani khedira,7205.0,0.06806923249675821,0.0,MID,6.0,3.88,0.5668770187674067,7205.0,82.78409090909092,0.5214266517323938,False,0.0,0.06806923249675821,0.06261166145692976
Tunisia,14,MF,Khalil Ayari,2005-02-02,21,4,0,Paris Saint-Germain,France,khalil ayari,,0.12,0.0,,,,1.2,0.0,62.0,0.8266666666666667,False,0.0,0.12,0.08266666666666667
Tunisia,15,MF,Hadj Mahmoud,2000-04-24,26,9,0,Lugano,Switzerland,hadj mahmoud,787.0,0.21502879847289963,0.0,MID,3.0,3.35,1.8556448535095307,787.0,70.0,1.4432793305074127,False,0.0,0.21502879847289963,0.1672446210344775
Tunisia,16,GK,Aymen Dahmen,1997-01-28,29,37,0,CS Sfaxien,Tunisia,aymen dahmen,,0.0,0.0,,,,0.0,0.0,90.0,0.0,False,0.0,0.0,0.0
Tunisia,17,MF,Ellyes Skhiri (captain),1995-05-10,31,83,4,Eintracht Frankfurt,Germany,ellyes skhiri,7482.0,0.07955953309740013,0.0,MID,5.0,5.83,0.6271900850516999,7482.0,70.09174311926606,0.4884538480932709,False,0.0,0.07955953309740013,0.06196073729501907
Tunisia,18,FW,Rayan Elloumi,2007-09-17,18,4,0,Vancouver Whitecaps FC,Canada,rayan elloumi,,0.3,0.0,,,,2.2,0.0,70.0,1.7111111111111112,False,0.0,0.3,0.23333333333333334
Tunisia,19,FW,Firas Chaouat,1996-05-08,30,30,6,Club Africain,Tunisia,firas chaouat,,0.3,0.0,,,,2.2,0.0,70.0,1.7111111111111112,False,0.0,0.3,0.23333333333333334
Tunisia,20,DF,Yan Valery,1999-02-22,27,22,0,Young Boys,Switzerland,yan valery,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,21,DF,Mohamed Amine Ben Hamida,1995-12-15,30,13,0,Espérance de Tunis,Tunisia,mohamed amine ben hamida,,0.05,0.0,,,,0.6,0.0,72.0,0.48,False,0.0,0.05,0.04000000000000001
Tunisia,22,GK,Sabri Ben Hessen,1996-06-13,29,2,0,Étoile du Sahel,Tunisia,sabri ben hessen,,0.0,0.0,,,,0.0,0.0,90.0,0.0,False,0.0,0.0,0.0
