player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Mohammed Al-Owais,Saudi Arabia,GK,34,64,0,6.391058651414316e-05,0.00025,0.0,0.0
Sultan Mandash,Saudi Arabia,FW,31,7,2,0.06512139254771189,0.16535,1.0,0.0
Marc Pubill,Spain,DF,22,2,0,0.0021315284315467182,0.057,0.0,0.0
João Paulo,Cape Verde,MF,28,42,1,0.017849147684246915,0.0339,0.0,0.0
Jovane Cabral,Cape Verde,MF,27,27,2,0.02489486387539701,0.0503,0.0,0.0
Kevin Pina,Cape Verde,MF,29,31,3,0.03509680292637541,0.07095,0.0,0.0
Logan Costa,Cape Verde,DF,25,28,0,0.0020855485609900496,0.00435,0.0,0.0
Roberto Lopes,Cape Verde,DF,33,45,0,0.002386008946895396,0.005,0.0,0.0
Diney,Cape Verde,DF,31,30,2,0.01919652652729478,0.0355,0.0,0.0
Stopira,Cape Verde,DF,38,62,4,0.043384898354279854,0.0813,0.0,0.0
Vozinha,Cape Verde,GK,40,86,0,9.277095323024706e-05,0.0001,0.0,0.0
Nawaf Al-Aqidi,Saudi Arabia,GK,26,22,0,5.00933788828553e-05,0.00015,0.0,0.0
Lachlan Bayliss,New Zealand,MF,23,4,0,0.01134638238555657,0.03995,0.0,0.0
Callan Elliot,New Zealand,DF,26,11,0,0.002127446697291857,0.00715,0.0,0.0
Ryan Thomas,New Zealand,MF,31,25,3,0.024677342642579536,0.0847,0.0,0.0
Michael Woud,New Zealand,GK,27,6,0,5.909574159144047e-05,0.0001,0.0,0.0
Jesse Randall,New Zealand,FW,23,11,2,0.042548933945837135,0.14315,1.0,0.0
Callum McCowatt,New Zealand,MF,27,32,4,0.033404120899977435,0.1179,1.0,0.0
Ben Old,New Zealand,MF,23,24,2,0.01795471498373787,0.05915,0.0,0.0
Ben Waine,New Zealand,FW,25,31,9,0.07972080481060695,0.27115,1.0,0.0
Tommy Smith,New Zealand,DF,36,56,2,0.01683254529725425,0.0538,0.0,0.0
Hélio Varela,Cape Verde,MF,24,20,0,0.007992360291794126,0.01645,0.0,0.0
Kelvin Pires,Cape Verde,DF,26,5,1,0.020375260612304102,0.03895,0.0,0.0
Wagner Pina,Cape Verde,DF,23,13,0,0.0028676292713613184,0.00545,0.0,0.0
CJ dos Santos,Cape Verde,GK,25,1,0,9.990450364742658e-05,0.0004,0.0,0.0
Steven Moreira,Cape Verde,DF,31,20,0,0.002277235009610459,0.0043,0.0,0.0
Nuno da Costa,Cape Verde,MF,35,9,2,0.043358554582983135,0.0858,0.0,0.0
Ryan Mendes (captain),Cape Verde,FW,36,98,22,0.27505851675412696,0.5323,2.0,0.0
Dailon Livramento,Cape Verde,FW,25,22,7,0.08991405328268393,0.17705,1.0,0.0
Gilson Benchimol,Cape Verde,FW,24,22,6,0.07992360291794126,0.15315,1.0,0.0
Willy Semedo,Cape Verde,MF,32,38,3,0.03687590353554651,0.072,0.0,0.0
Yannick Semedo,Cape Verde,MF,30,10,1,0.026546053826316206,0.0505,0.0,0.0
Laros Duarte,Cape Verde,MF,29,13,1,0.02322779709802668,0.04475,0.0,0.0
Deroy Duarte,Cape Verde,MF,26,30,0,0.0073248534825016386,0.0143,0.0,0.0
Sidny Lopes Cabral,Cape Verde,DF,23,9,3,0.043762516271644465,0.0839,0.0,0.0
Márcio Rosa,Cape Verde,GK,29,11,0,7.553755153829815e-05,0.0001,0.0,0.0
Garry Rodrigues,Cape Verde,MF,35,60,10,0.11420581415675092,0.21895,1.0,0.0
Jamiro Monteiro,Cape Verde,MF,32,55,5,0.06048090826871144,0.1209,1.0,0.0
Telmo Arcanjo,Cape Verde,MF,24,16,1,0.020646930753801494,0.0404,0.0,0.0
Jakhongir Urozov,Uzbekistan,DF,22,4,0,0.002573473217916173,0.00965,0.0,0.0
Avazbek Ulmasaliev,Uzbekistan,DF,26,0,0,0.003308751280177937,0.01225,0.0,0.0
Bekhruz Karimov,Uzbekistan,DF,18,2,0,0.002895157370155695,0.00955,0.0,0.0
Sherzod Esanov,Uzbekistan,MF,23,1,0,0.012352671445997632,0.0401,0.0,0.0
Abbosbek Fayzullaev,Uzbekistan,MF,22,32,8,0.05219073187086172,0.1785,1.0,0.0
Igor Sergeev,Uzbekistan,FW,33,83,25,0.1941257833834551,0.67085,2.0,0.0
Azizbek Amonov,Uzbekistan,FW,28,12,2,0.035293346988564664,0.1241,1.0,0.0
Azizjon Ganiev,Uzbekistan,MF,28,19,0,0.004941068578399053,0.0164,0.0,0.0
Melvin Mastil,Algeria,GK,26,1,0,6.708635046582963e-05,0.0004,0.0,0.0
Dostonbek Khamdamov,Uzbekistan,MF,29,34,5,0.034923968589974666,0.1189,1.0,0.0
Botirali Ergashev,Uzbekistan,GK,30,2,0,5.79031474031139e-05,0.0002,0.0,0.0
Umar Eshmurodov,Uzbekistan,DF,33,29,0,0.0013436889419877393,0.0048,0.0,0.0
Sherzod Nasrullaev,Uzbekistan,DF,27,31,2,0.012352671445997632,0.04175,0.0,0.0
Abduvohid Nematov,Uzbekistan,GK,25,8,0,4.87605451815696e-05,0.0001,0.0,0.0
Oston Urunov,Uzbekistan,MF,25,42,10,0.06820659486189319,0.23365,1.0,0.0
Jaloliddin Masharipov,Uzbekistan,MF,32,74,12,0.08880797262731657,0.30285,1.0,0.0
Odiljon Hamrobekov,Uzbekistan,MF,30,72,1,0.01244388821920943,0.0405,0.0,0.0
Jamshid Iskanderov,Uzbekistan,MF,32,38,4,0.029665928528636844,0.1023,0.0,0.0
Abdulla Abdullaev,Uzbekistan,DF,28,17,0,0.0014942747716932619,0.0054,0.0,0.0
Luka Vušković,Croatia,DF,19,5,1,0.01714562475422363,0.13305,1.0,0.0
Luka Sučić,Croatia,MF,23,21,1,0.014659509164861204,0.11405,1.0,0.0
Igor Matanović,Croatia,FW,23,9,2,0.05791411028093314,0.44625,1.0,0.0
Toni Fruk,Croatia,MF,25,7,1,0.026061349626419917,0.2021,1.0,0.0
Kristijan Jakić,Croatia,DF,29,17,2,0.018915495696595102,0.1432,1.0,0.0
Petar Sučić,Croatia,MF,22,17,1,0.01675372475984138,0.12895,1.0,0.0
Martin Baturina,Croatia,MF,23,19,1,0.01563680977585195,0.12295,1.0,0.0
Mario Pašalić,Croatia,MF,31,85,12,0.059369238679951565,0.45605,1.0,0.0
Dominik Livaković,Croatia,GK,31,75,0,3.741758740333082e-05,5e-05,0.0,0.0
Ivor Pandur,Croatia,GK,26,0,0,8.687116542139972e-05,0.00045,0.0,0.0
Ante Budimir,Croatia,FW,34,38,6,0.04435974404497007,0.3472,1.0,0.0
Mateo Kovačić,Croatia,MF,32,113,5,0.027687807659516315,0.21155,1.0,0.0
Nikola Moro,Croatia,MF,28,10,0,0.009928133191017112,0.0773,0.0,0.0
Josip Šutalo,Croatia,DF,26,33,0,0.0013862420014053147,0.0108,0.0,0.0
Duje Ćaleta-Car,Croatia,DF,29,38,1,0.006264747506350941,0.0507,0.0,0.0
Joško Gvardiol,Croatia,DF,24,48,4,0.017864634824562037,0.1407,1.0,0.0
Marin Pongračić,Croatia,DF,28,20,0,0.0019162757078249938,0.01485,0.0,0.0
Josip Stanišić,Croatia,DF,26,31,0,0.0014478527570233287,0.01045,0.0,0.0
Nikola Vlašić,Croatia,MF,28,63,10,0.04816553656340109,0.3692,1.0,0.0
Renato Veiga,Portugal,DF,22,13,1,0.008671964294595012,0.0954,0.0,0.0
José Sá,Portugal,GK,33,5,0,5.351840821807208e-05,0.00065,0.0,0.0
João Félix,Portugal,FW,26,54,12,0.04162542861405606,0.47505,1.0,0.0
Bernardo Silva,Portugal,MF,31,109,14,0.043984808803621336,0.50285,1.0,0.0
Gonçalo Ramos,Portugal,FW,24,25,10,0.06611097485761845,0.75895,2.0,0.0
Matheus Nunes,Portugal,MF,27,20,2,0.016918722597971173,0.198,1.0,0.0
Diogo Dalot,Portugal,DF,27,35,3,0.01242391619348102,0.1407,1.0,0.0
Tomás Araújo,Portugal,DF,24,5,0,0.0024646635363585823,0.0283,0.0,0.0
Otabek Shukurov,Uzbekistan,MF,29,84,9,0.06905751534360104,0.2439,1.0,0.0
Nélson Semedo,Portugal,DF,32,50,0,0.0007316969873564542,0.0089,0.0,0.0
Diogo Costa,Portugal,GK,26,43,0,2.565951078948661e-05,0.0003,0.0,0.0
Arthur Masuaku,DR Congo,DF,32,45,4,0.03546997394489513,0.08645,0.0,0.0
Edo Kayembe,DR Congo,MF,28,43,2,0.024397434704909904,0.05645,0.0,0.0
Gédéon Kalulu,DR Congo,DF,28,28,0,0.001823728507842102,0.0033,0.0,0.0
Simon Banza,DR Congo,FW,29,15,2,0.05015253396565781,0.11695,1.0,0.0
Chancel Mbemba (captain),DR Congo,DF,31,109,7,0.07030250991815715,0.1618,1.0,0.0
Matthieu Epolo,DR Congo,GK,21,1,0,9.706942057869255e-05,0.0002,0.0,0.0
Yoane Wissa,DR Congo,FW,29,38,9,0.09731725739719134,0.22655,1.0,0.0
Rúben Dias,Portugal,DF,29,76,3,0.008979459273075847,0.1019,0.0,0.0
Akmal Mozgovoy,Uzbekistan,MF,27,25,1,0.009961831811288412,0.03575,0.0,0.0
Rustam Ashurmatov,Uzbekistan,DF,29,49,1,0.007748091408779877,0.026,0.0,0.0
Farrukh Sayfiev,Uzbekistan,DF,35,46,1,0.00763740438865445,0.027,0.0,0.0
Khojiakbar Alijonov,Uzbekistan,DF,29,40,2,0.013282442415051218,0.04455,0.0,0.0
Abdukodir Khusanov,Uzbekistan,DF,22,27,0,0.001312046140998962,0.0053,0.0,0.0
Utkir Yusupov,Uzbekistan,GK,35,40,0,4.553980256588989e-05,0.00025,0.0,0.0
Francisco Conceição,Portugal,FW,23,17,4,0.0432264066376736,0.49365,1.0,0.0
Nuno Mendes,Portugal,DF,23,44,1,0.004036948895759748,0.04655,0.0,0.0
Gonçalo Inácio,Portugal,DF,24,22,2,0.011707151797703267,0.1312,1.0,0.0
Vitinha,Portugal,MF,26,38,0,0.003058194755318405,0.0354,0.0,0.0
Rui Silva,Portugal,GK,32,3,0,5.6761948110076445e-05,0.0006,0.0,0.0
Rúben Neves,Portugal,MF,29,67,1,0.005058810907815077,0.0551,0.0,0.0
João Cancelo,Portugal,DF,32,68,12,0.03323738825429527,0.37255,1.0,0.0
Gonçalo Guedes,Portugal,FW,29,34,8,0.04356149506122146,0.5091,1.0,0.0
Pedro Neto,Portugal,FW,26,25,3,0.027546239524007688,0.31075,1.0,0.0
Rafael Leão,Portugal,FW,27,44,5,0.02473964153476917,0.28065,1.0,0.0
Francisco Trincão,Portugal,FW,26,18,3,0.03468785717838005,0.39115,1.0,0.0
João Neves,Portugal,MF,21,22,3,0.021569540281829048,0.2458,1.0,0.0
Samú Costa,Portugal,DF,25,6,0,0.0023414303595406536,0.02715,0.0,0.0
Raúl Rangel,Mexico,GK,26,14,0,6.053922505685356e-05,0.00045,0.0,0.0
Denis Višinský,Czech Republic,FW,23,2,1,0.06054376142366484,0.2508,1.0,0.0
Hugo Sochůrek,Czech Republic,MF,18,1,0,0.01479958612578474,0.0603,0.0,0.0
Alexandr Sojka,Czech Republic,MF,23,2,0,0.013661156423801299,0.0586,0.0,0.0
Lukáš Horníček,Czech Republic,GK,23,1,0,7.161090060863583e-05,0.0002,0.0,0.0
Tomáš Souček,Czech Republic,MF,31,90,17,0.15477491224136974,0.6416,2.0,0.0
David Douděra,Czech Republic,DF,28,17,2,0.016112452636943064,0.06675,0.0,0.0
Jaroslav Zelený,Czech Republic,DF,33,23,0,0.0015164411088196422,0.00625,0.0,0.0
Dominik Kotarski,Croatia,GK,26,4,0,7.665102831299977e-05,0.00035,0.0,0.0
Michal Sadílek,Czech Republic,MF,27,35,1,0.013364174762414315,0.05465,0.0,0.0
Lukáš Provod,Czech Republic,MF,29,38,3,0.028756136845435966,0.12325,1.0,0.0
Johan Vásquez,Mexico,DF,27,46,3,0.017351939974901205,0.16215,1.0,0.0
Augustine Boakye,Ghana,MF,25,0,0,0.02394440895056179,0.0596,0.0,0.0
Iñaki Williams,Ghana,FW,31,26,2,0.037626928350882806,0.08635,0.0,0.0
Jerome Opoku,Ghana,DF,27,11,1,0.01646178115351123,0.0397,0.0,0.0
Abdul Rahman Baba,Ghana,DF,31,51,1,0.010674517976211986,0.025,0.0,0.0
Benjamin Asare,Ghana,GK,33,11,0,8.030137148054258e-05,0.0,0.0,0.0
Elisha Owusu,Ghana,MF,28,20,0,0.008496403176005796,0.0199,0.0,0.0
Tomáš Chorý,Czech Republic,FW,31,22,7,0.06444981054777225,0.26415,1.0,0.0
Tomás Rodríguez,Panama,FW,27,13,4,0.08188478520398934,0.22865,1.0,0.0
Adalberto Carrasquilla,Panama,MF,27,73,3,0.02478801920351717,0.0701,0.0,0.0
José Luis Rodríguez,Panama,MF,27,70,8,0.05708346754549711,0.1672,1.0,0.0
Cristian Martínez,Panama,MF,29,66,2,0.018014652744877655,0.05055,0.0,0.0
Edgardo Fariña,Panama,DF,24,18,0,0.0023456579094892783,0.0069,0.0,0.0
Fidel Escobar,Panama,DF,31,99,4,0.02794861778173774,0.08085,0.0,0.0
José Córdoba,Panama,DF,25,32,1,0.008158810119962707,0.0243,0.0,0.0
César Blackman,Panama,DF,28,40,3,0.01807025352495444,0.0508,0.0,0.0
Jorge Sánchez,Mexico,DF,28,59,3,0.018292396519103714,0.171,1.0,0.0
Marvin Senaya,Ghana,DF,25,2,0,0.005144306610472259,0.01165,0.0,0.0
Prince Kwabena Adu,Ghana,FW,22,5,0,0.047033660438603506,0.11045,1.0,0.0
Ernest Nuamah,Ghana,FW,22,18,4,0.07316347179338324,0.172,1.0,0.0
Derrick Luckassen,Ghana,DF,30,1,0,0.005487260384503743,0.01315,0.0,0.0
Kamaldeen Sulemana,Ghana,FW,24,28,1,0.02669478024893713,0.06245,0.0,0.0
Ismael Díaz,Panama,MF,29,57,17,0.11199550658672103,0.3181,1.0,0.0
Jindřich Staněk,Czech Republic,GK,30,14,0,5.045313451972071e-05,0.00035,0.0,0.0
Edson Álvarez (captain),Mexico,DF,28,98,7,0.04417780704312222,0.40775,1.0,0.0
César Montes,Mexico,DF,29,67,4,0.024481431477037623,0.2302,1.0,0.0
Luis Mejía,Panama,GK,35,56,0,4.887696481168356e-05,0.0002,0.0,0.0
Anthony Gordon,England,FW,25,19,3,0.032003225979993756,0.4757,1.0,0.0
Morgan Rogers,England,MF,23,15,1,0.012407404533782196,0.1835,1.0,0.0
Kobbie Mainoo,England,MF,21,14,0,0.005734978095614881,0.08665,0.0,0.0
Dan Burn,England,DF,34,8,0,0.002036568925999603,0.0291,0.0,0.0
Jordan Henderson,England,MF,35,90,3,0.021108076933924767,0.3124,1.0,0.0
Dean Henderson,England,GK,29,5,0,5.1205161567990014e-05,0.00065,0.0,0.0
Tino Livramento,England,DF,23,6,0,0.002240225818599563,0.03325,0.0,0.0
Jude Bellingham,England,MF,22,48,6,0.034485940501265605,0.4996,1.0,0.0
Gideon Mensah,Ghana,DF,27,40,0,0.002015522638936177,0.0053,0.0,0.0
Marc Guéhi,England,DF,25,29,1,0.005255130332811916,0.08025,0.0,0.0
John Stones,England,DF,32,89,3,0.017505724083543735,0.2593,1.0,0.0
Declan Rice,England,MF,27,73,7,0.042255389850454364,0.63215,2.0,0.0
Nico O'Reilly,England,DF,21,5,0,0.0023581324406311186,0.0348,0.0,0.0
Ezri Konsa,England,DF,28,20,1,0.006588899466469303,0.09745,0.0,0.0
Jordan Pickford,England,GK,32,84,0,4.5932318843597446e-05,0.0007,0.0,0.0
Petar Musa,Croatia,FW,28,11,1,0.03909202443962987,0.30125,1.0,0.0
Martin Erlić,Croatia,DF,28,13,1,0.012065439641861072,0.0934,0.0,0.0
Marco Pašalić,Croatia,FW,25,15,1,0.032576687033024895,0.2578,1.0,0.0
Elliot Anderson,England,MF,23,9,0,0.007168722619518602,0.1079,1.0,0.0
Christopher Bonsu Baah,Ghana,FW,21,9,0,0.03658173589669162,0.0828,0.0,0.0
Joseph Anang,Ghana,GK,26,1,0,0.00010620503970007244,0.00025,0.0,0.0
Antoine Semenyo,Ghana,MF,26,34,3,0.031248662994066496,0.07435,0.0,0.0
Brandon Thomas-Asante,Ghana,FW,27,8,1,0.058100404071216104,0.13605,1.0,0.0
Jordan Ayew (captain),Ghana,FW,34,120,34,0.36448148931087715,0.85795,2.0,0.0
Kwasi Sibo,Ghana,MF,27,8,0,0.013862552550325246,0.0325,0.0,0.0
Abdul Fatawu,Ghana,FW,22,28,3,0.04449130041489521,0.10915,1.0,0.0
Abdul Mumin,Ghana,DF,28,5,0,0.004332047671976639,0.01105,0.0,0.0
Thomas Partey,Ghana,MF,32,57,15,0.14414662233205847,0.33985,1.0,0.0
Noni Madueke,England,FW,24,11,1,0.026882709823194753,0.40145,1.0,0.0
Caleb Yirenkyi,Ghana,MF,20,11,1,0.02693746006938201,0.06385,0.0,0.0
Alidu Seidu,Ghana,DF,26,24,1,0.010830119179941597,0.0268,0.0,0.0
Lawrence Ati-Zigi,Ghana,GK,29,29,0,5.580264797800417e-05,0.00015,0.0,0.0
Jarell Quansah,England,DF,23,3,0,0.002635559786587721,0.0408,0.0,0.0
Djed Spence,England,DF,25,6,0,0.002240225818599563,0.03425,0.0,0.0
Reece James,England,DF,26,24,1,0.005895331101577797,0.08825,0.0,0.0
James Trafford,England,GK,23,2,0,5.600564546498908e-05,0.0008,0.0,0.0
Ivan Toney,England,FW,30,8,1,0.031626717439052654,0.4679,1.0,0.0
Eberechi Eze,England,MF,27,17,3,0.02432245174479525,0.3687,1.0,0.0
Jonas Adjetey,Ghana,DF,22,10,0,0.0034295377403148392,0.00835,0.0,0.0
Emiliano Martínez,Argentina,GK,33,59,0,2.579743858140028e-05,0.00025,0.0,0.0
José Manuel López,Argentina,FW,25,5,0,0.027796271594971247,0.36975,1.0,0.0
Alexis Mac Allister,Argentina,MF,27,46,6,0.023212325051239147,0.30465,1.0,0.0
Nicolás Otamendi,Argentina,DF,38,132,8,0.029026161420337784,0.384,1.0,0.0
Nico Paz,Argentina,FW,21,9,1,0.032428983527466454,0.425,1.0,0.0
Giuliano Simeone,Argentina,FW,23,13,2,0.035377072939054316,0.46505,1.0,0.0
Thiago Almada,Argentina,FW,25,16,5,0.05448069232614365,0.70915,2.0,0.0
Nicolás González,Argentina,MF,28,51,6,0.02176717062062974,0.27485,1.0,0.0
Fiston Mayele,DR Congo,FW,31,37,6,0.07041177891146899,0.16065,1.0,0.0
Cristian Romero,Argentina,DF,28,51,3,0.009923268959404735,0.1293,1.0,0.0
Gerónimo Rulli,Argentina,GK,34,8,0,5.1203658201262825e-05,0.0007,0.0,0.0
Giovani Lo Celso,Argentina,MF,30,67,4,0.016044863234512634,0.20775,1.0,0.0
Julián Alvarez,Argentina,FW,26,51,14,0.05292410111682526,0.6844,2.0,0.0
Valentín Barco,Argentina,MF,21,4,2,0.03632046155076243,0.4645,1.0,0.0
Rodrigo De Paul,Argentina,MF,32,87,2,0.009673102515049993,0.12375,1.0,0.0
Lisandro Martínez,Argentina,DF,28,28,1,0.00579088991561901,0.0776,0.0,0.0
Leandro Paredes,Argentina,MF,31,77,5,0.01974925096822707,0.25565,1.0,0.0
Gonzalo Montiel,Argentina,DF,29,39,2,0.008260212785298059,0.10645,1.0,0.0
Exequiel Palacios,Argentina,MF,27,40,0,0.00305213962611449,0.0402,0.0,0.0
Carney Chukwuemeka,Austria,MF,22,3,1,0.02764875700196445,0.12755,1.0,0.0
Phillipp Mwene,Austria,DF,32,30,0,0.0012218516351878228,0.00495,0.0,0.0
Philipp Lienhart,Austria,DF,29,41,3,0.015552165290868288,0.0715,0.0,0.0
Saša Kalajdžić,Austria,FW,28,22,4,0.04162178473414003,0.1883,1.0,0.0
Patrick Pentz,Austria,GK,29,18,0,4.480122662355351e-05,5e-05,0.0,0.0
Florian Wiegele,Austria,GK,25,1,0,6.936964122356671e-05,0.0002,0.0,0.0
Michael Gregoritsch,Austria,FW,32,75,24,0.14901900540030588,0.68435,2.0,0.0
Florian Grillitsch,Austria,MF,30,58,1,0.009712650091107564,0.0425,0.0,0.0
Enzo Fernández,Argentina,MF,25,42,6,0.02496419864001191,0.3231,1.0,0.0
David Alaba (captain),Austria,DF,33,113,15,0.08710255638485959,0.4,1.0,0.0
Nicolas Seiwald,Austria,MF,25,47,1,0.009363294960006487,0.04175,0.0,0.0
Stefan Posch,Austria,DF,29,52,5,0.026552477325872688,0.12105,1.0,0.0
Xaver Schlager,Austria,MF,28,51,4,0.025345803241088257,0.11405,1.0,0.0
Kevin Danso,Austria,DF,27,32,0,0.0011687276510492217,0.005,0.0,0.0
David Affengruber,Austria,DF,25,1,0,0.00358409812988428,0.01635,0.0,0.0
Alexander Schlager,Austria,GK,30,26,0,3.840105139161729e-05,0.0003,0.0,0.0
Nahuel Molina,Argentina,DF,28,58,1,0.0039185021762355296,0.0508,0.0,0.0
Facundo Medina,Argentina,DF,27,9,0,0.0021149337083130296,0.02655,0.0,0.0
Marcel Sabitzer,Austria,MF,32,98,26,0.15467520736674914,0.70675,2.0,0.0
Ramiz Zerrouki,Algeria,MF,28,52,3,0.02211160335827204,0.1127,1.0,0.0
Zineddine Belaïd,Algeria,DF,27,10,1,0.010831650335628742,0.0553,0.0,0.0
Mohamed Amine Tougai,Algeria,DF,26,29,2,0.010882030104631667,0.0571,0.0,0.0
Achref Abada,Algeria,DF,26,7,1,0.012379028955004276,0.0626,0.0,0.0
Aïssa Mandi,Algeria,DF,34,117,7,0.04564849010898795,0.2375,1.0,0.0
Diego Moreira,Belgium,MF,21,3,0,0.00897825387263862,0.09605,0.0,0.0
Pape Gueye,Senegal,MF,27,41,5,0.030820197063691695,0.14485,1.0,0.0
El Hadji Malick Diouf,Senegal,DF,21,20,1,0.008176584710535137,0.0398,0.0,0.0
Nicolás Tagliafico,Argentina,DF,33,76,1,0.004107671246812418,0.05165,0.0,0.0
Mory Diaw,Senegal,GK,32,5,0,6.354374403615879e-05,0.00035,0.0,0.0
Bara Sapoko Ndiaye,Senegal,MF,18,1,0,0.014826873608437048,0.0676,0.0,0.0
Habib Diarra,Senegal,MF,22,21,4,0.033360465618983356,0.1591,1.0,0.0
Ibrahim Mbaye,Senegal,FW,18,11,3,0.05560077603163893,0.25795,1.0,0.0
Moussa Niakhaté,Senegal,DF,30,31,0,0.0012355728007030875,0.00575,0.0,0.0
Ismaïla Sarr,Senegal,FW,28,83,19,0.12768399555091786,0.60515,2.0,0.0
Pape Matar Sarr,Senegal,MF,23,40,4,0.02537219013208479,0.11895,1.0,0.0
Édouard Mendy,Senegal,GK,34,57,0,4.415526623202255e-05,0.00025,0.0,0.0
Krépin Diatta,Senegal,DF,27,61,2,0.01233326304701809,0.0587,0.0,0.0
Antoine Mendy,Senegal,DF,22,7,0,0.0026476560015066155,0.0105,0.0,0.0
Juan Musso,Argentina,GK,32,4,0,5.722761798964669e-05,0.0007,0.0,0.0
Samir Chergui,Algeria,DF,27,4,0,0.0028884400895009977,0.0147,0.0,0.0
Farès Ghedjemis,Algeria,FW,23,1,1,0.06239030593322155,0.32405,1.0,0.0
Yacine Titraoui,Algeria,MF,22,5,0,0.010398384322203592,0.0529,0.0,0.0
Luca Zidane,Algeria,GK,28,7,0,5.620748282272212e-05,0.0002,0.0,0.0
Ibrahim Maza,Algeria,MF,20,16,2,0.021567019334940783,0.1112,1.0,0.0
Ramy Bensebaini,Algeria,DF,31,81,7,0.04357859905951157,0.2245,1.0,0.0
Adil Boulbina,Algeria,FW,23,11,6,0.08318707457762874,0.42905,1.0,0.0
Nabil Bentaleb,Algeria,MF,31,59,6,0.04040515050913396,0.2049,1.0,0.0
Houssem Aouar,Algeria,MF,27,20,6,0.045618718316764145,0.234,1.0,0.0
Rafik Belghali,Algeria,DF,24,12,1,0.009998446463657301,0.0521,0.0,0.0
Oussama Benbot,Algeria,GK,31,2,0,6.498990201377246e-05,0.00015,0.0,0.0
Rayan Aït-Nouri,Algeria,DF,25,28,0,0.0012379028955004274,0.00535,0.0,0.0
Hicham Boudaoui,Algeria,MF,26,32,0,0.004197061705138541,0.02125,0.0,0.0
Jaouen Hadjam,Algeria,DF,23,17,3,0.02180306390139463,0.11475,1.0,0.0
Nadhir Benbouali,Algeria,FW,26,3,1,0.05199192161101796,0.27,1.0,0.0
Anis Hadj Moussa,Algeria,FW,24,14,1,0.02712621997096589,0.13715,1.0,0.0
Farès Chaïbi,Algeria,MF,23,29,3,0.019756930212186826,0.0982,0.0,0.0
Amine Gouiri,Algeria,FW,26,22,8,0.06708635046582963,0.3514,1.0,0.0
Mohamed Amoura,Algeria,FW,26,45,19,0.12337066144987312,0.64675,2.0,0.0
Luis Suárez,Colombia,FW,28,12,5,0.08367371032043609,0.6125,2.0,0.0
Álvaro Montero,Colombia,GK,31,12,0,5.976693594316864e-05,0.0002,0.0,0.0
Davinson Sánchez,Colombia,DF,29,79,4,0.02767145849799204,0.2011,1.0,0.0
Deiver Machado,Colombia,DF,32,15,0,0.00216397526690783,0.01615,0.0,0.0
Jaminton Campaz,Colombia,FW,26,10,1,0.03963491541494341,0.29045,1.0,0.0
Juan Fernando Quintero,Colombia,MF,33,49,6,0.04256500805918978,0.31835,1.0,0.0
Cucho Hernández,Colombia,FW,27,9,2,0.055782473546957395,0.40965,1.0,0.0
Willer Ditta,Colombia,DF,28,5,0,0.003302909617911951,0.02245,0.0,0.0
Romano Schmid,Austria,MF,26,34,3,0.018430466801235782,0.08435,0.0,0.0
Jefferson Lerma,Colombia,MF,31,65,5,0.03802128018176506,0.27625,1.0,0.0
Juan Portilla,Colombia,MF,27,10,0,0.009562709750906983,0.06975,0.0,0.0
Gustavo Puerta,Colombia,DF,22,6,1,0.015688820685081768,0.11485,1.0,0.0
Yerry Mina,Colombia,DF,31,54,8,0.050215497908964006,0.36615,1.0,0.0
Camilo Vargas,Colombia,GK,37,42,0,4.471114291931699e-05,0.00015,0.0,0.0
Jhon Arias,Colombia,MF,28,38,6,0.040419916024553394,0.29225,1.0,0.0
Jhon Córdoba,Colombia,FW,33,21,6,0.06693896825634887,0.48105,1.0,0.0
Jorge Carrascal,Colombia,MF,28,24,2,0.020081690476904664,0.1457,1.0,0.0
Richard Ríos,Colombia,MF,26,32,2,0.01634556201608519,0.11735,1.0,0.0
Johan Mojica,Colombia,DF,33,45,1,0.007307511251946482,0.0524,0.0,0.0
Charles Pickel,DR Congo,MF,29,34,1,0.014881624623991554,0.0351,0.0,0.0
Cédric Bakambu,DR Congo,FW,35,70,21,0.22300275171841405,0.52095,1.0,0.0
Timothy Fayulu,DR Congo,GK,26,3,0,9.118642539210512e-05,0.00035,0.0,0.0
Aaron Tshibola,DR Congo,MF,31,17,1,0.01934454881532516,0.0433,0.0,0.0
Noah Sadiki,DR Congo,MF,21,20,0,0.007765553646295403,0.01935,0.0,0.0
Meschak Elia,DR Congo,FW,28,69,12,0.13551705681349777,0.315,1.0,0.0
Joris Kayembe,DR Congo,DF,31,26,1,0.00940360011856084,0.0216,0.0,0.0
Gaël Kakuta,DR Congo,FW,34,31,5,0.05936236293026042,0.14085,1.0,0.0
Andrés Gómez,Colombia,FW,23,8,2,0.05906379552030783,0.43675,1.0,0.0
Brian Cipenga,DR Congo,FW,28,8,0,0.03540178868164081,0.0821,0.0,0.0
Samuel Moutoussamy,DR Congo,MF,29,58,0,0.007358348066423786,0.01805,0.0,0.0
Nathanaël Mbuku,DR Congo,MF,24,19,2,0.028085419020768373,0.06395,0.0,0.0
Ngal'ayel Mukau,DR Congo,MF,21,14,0,0.009629286521406301,0.0225,0.0,0.0
Dylan Batubinsika,DR Congo,DF,30,14,1,0.013433714455086915,0.03135,0.0,0.0
Axel Tuanzebe,DR Congo,DF,28,14,1,0.013433714455086915,0.02995,0.0,0.0
