player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Liam Millar,Canada,MF,26,41,1,0.010619798338922406,0.09925,0.0,0.0
Ismaël Koné,Canada,MF,23,40,4,0.02817048371746673,0.25325,1.0,0.0
Stephen Eustáquio,Canada,MF,29,56,4,0.03002048563324067,0.27305,1.0,0.0
Owen Goodman,Canada,GK,22,0,0,5.6744450925678434e-05,0.0008,0.0,0.0
Oh Hyeon-gyu,South Korea,FW,25,27,6,0.051851709495714146,0.3883,1.0,0.0
Bae Jun-ho,South Korea,MF,22,13,2,0.027222147485249926,0.2071,1.0,0.0
Park Jin-seob,South Korea,DF,30,14,1,0.010416638068335432,0.0798,0.0,0.0
Kim Moon-hwan,South Korea,DF,30,35,0,0.0011904729220954778,0.00905,0.0,0.0
Cho Wi-je,South Korea,DF,24,1,0,0.003888878212178561,0.02795,0.0,0.0
Lee Tae-seok,South Korea,DF,23,15,1,0.010057443652185935,0.07515,0.0,0.0
Song Bum-keun,South Korea,GK,28,3,0,7.070687658506475e-05,0.00045,0.0,0.0
Hwang Hee-chan,South Korea,MF,30,79,17,0.10057086054189411,0.75935,2.0,0.0
Ivan Bašić,Bosnia and Herzegovina,MF,24,17,0,0.008080190197587787,0.0411,0.0,0.0
Cho Gue-sung,South Korea,FW,28,44,12,0.07481219972524117,0.56305,2.0,0.0
Paik Seung-ho,South Korea,MF,29,27,3,0.023333269273071364,0.17685,1.0,0.0
Hwang In-beom,South Korea,MF,29,73,6,0.038038209744343604,0.2846,1.0,0.0
Kim Tae-hyeon,South Korea,DF,25,7,0,0.002777770151556115,0.01965,0.0,0.0
Kim Min-jae,South Korea,DF,29,79,4,0.023238102064319498,0.17715,1.0,0.0
Lee Gi-hyuk,South Korea,MF,25,3,0,0.013333296727469354,0.0974,0.0,0.0
Lee Han-beom,South Korea,DF,23,8,0,0.0026515078719399282,0.02085,0.0,0.0
Kim Seung-gyu,South Korea,GK,35,87,0,4.7863116457582285e-05,0.00035,0.0,0.0
Bradley Cross,South Africa,DF,25,1,0,0.004040859012435454,0.00845,0.0,0.0
Lee Jae-sung,South Korea,MF,33,105,15,0.09205682217366325,0.6871,2.0,0.0
Mladen Jurkas,Bosnia and Herzegovina,GK,18,0,0,9.426888563852419e-05,0.00045,0.0,0.0
Ermedin Demirović,Bosnia and Herzegovina,FW,28,40,4,0.037185918454862306,0.187,1.0,0.0
Samed Baždar,Bosnia and Herzegovina,FW,22,13,1,0.0385645441248508,0.1894,1.0,0.0
Armin Gigović,Bosnia and Herzegovina,MF,24,20,1,0.016421031691871955,0.0813,0.0,0.0
Amar Dedić,Bosnia and Herzegovina,DF,23,28,1,0.008416864789153945,0.04215,0.0,0.0
Benjamin Tahirović,Bosnia and Herzegovina,MF,23,28,2,0.02030406767598982,0.09665,0.0,0.0
Sead Kolašinac,Bosnia and Herzegovina,DF,32,65,0,0.0015616712853208916,0.00735,0.0,0.0
Tarik Muharemović,Bosnia and Herzegovina,DF,23,14,1,0.012625297183730918,0.06345,0.0,0.0
Lee Kang-in,South Korea,MF,25,47,11,0.06154878068416352,0.4641,1.0,0.0
Nihad Mujakić,Bosnia and Herzegovina,DF,28,12,1,0.013596473890171759,0.06605,0.0,0.0
Nikola Vasilj,Bosnia and Herzegovina,GK,30,26,0,5.050118873492367e-05,0.00015,0.0,0.0
Lee Dong-gyeong,South Korea,MF,28,18,4,0.03862058362439399,0.29355,1.0,0.0
Eom Ji-sung,South Korea,MF,24,9,2,0.03266657698229991,0.23885,1.0,0.0
Kim Jin-gyu,South Korea,MF,29,22,3,0.026868613102324603,0.1983,1.0,0.0
Jens Castrop,South Korea,DF,22,7,0,0.002777770151556115,0.02115,0.0,0.0
Seol Young-woo,South Korea,DF,27,34,0,0.0012152744413058002,0.0085,0.0,0.0
Jo Hyeon-woo,South Korea,GK,34,48,0,3.961085499937845e-05,0.0004,0.0,0.0
Yang Hyun-jun,South Korea,MF,24,9,0,0.009333307709228546,0.07245,0.0,0.0
Dennis Hadžikadunić,Bosnia and Herzegovina,DF,27,32,0,0.0015369927006281116,0.00775,0.0,0.0
Ayumu Seko,Japan,DF,26,14,0,0.00253020829656203,0.0215,0.0,0.0
Yuito Suzuki,Japan,MF,24,6,0,0.013335686080703407,0.1153,1.0,0.0
Tsuyoshi Watanabe,Japan,DF,29,11,0,0.002833833292149474,0.02445,0.0,0.0
Daichi Kamada,Japan,MF,29,49,12,0.08115891510667353,0.6892,2.0,0.0
Keisuke Ōsako,Japan,GK,26,11,0,6.911788517437741e-05,0.00045,0.0,0.0
Daizen Maeda,Japan,MF,28,27,4,0.03579578895346704,0.3007,1.0,0.0
Ritsu Dōan,Japan,MF,27,65,11,0.07835436680168156,0.6634,2.0,0.0
Keisuke Gotō,Japan,FW,21,4,0,0.043597435263838066,0.3722,1.0,0.0
Mathew Ryan (captain),Australia,GK,34,104,0,7.881574951254378e-05,0.0008,0.0,0.0
Ao Tanaka,Japan,MF,27,38,8,0.05298483941262422,0.4467,1.0,0.0
Wataru Endo (captain),Japan,MF,33,73,4,0.032386666195993986,0.27275,1.0,0.0
Yūto Nagatomo,Japan,DF,39,145,4,0.030091320173810863,0.25095,1.0,0.0
Kō Itakura,Japan,DF,29,40,2,0.01293987804634463,0.1095,1.0,0.0
Shōgo Taniguchi,Japan,DF,34,38,1,0.007092048544631191,0.05935,0.0,0.0
Yukinari Sugawara,Japan,DF,25,21,2,0.018217499735246615,0.15045,1.0,0.0
Zion Suzuki,Japan,GK,23,24,0,5.247839429906433e-05,0.0007,0.0,0.0
Christ Inao Oulaï,Ivory Coast,MF,20,9,0,0.00998827061025699,0.06995,0.0,0.0
Takefusa Kubo,Japan,MF,25,49,7,0.04945621389312918,0.416,1.0,0.0
Tijjani Reijnders,Netherlands,MF,27,32,7,0.036246430372584806,0.35225,1.0,0.0
Robin Roefs,Netherlands,GK,23,1,0,5.5393667177912455e-05,0.0006,0.0,0.0
Mats Wieffer,Netherlands,DF,26,15,1,0.0074017400108417515,0.07415,0.0,0.0
Cody Gakpo,Netherlands,FW,27,50,21,0.12171243358351798,1.2017,3.0,0.0
Wout Weghorst,Netherlands,FW,33,52,14,0.08516920797929765,0.83875,2.0,0.0
Ryan Gravenberch,Netherlands,MF,24,27,1,0.008134122706651356,0.08,0.0,0.0
Justin Kluivert,Netherlands,MF,27,12,0,0.005972882373966213,0.05695,0.0,0.0
Jan Paul van Hecke,Netherlands,DF,26,12,0,0.001651157387033929,0.0158,0.0,0.0
Hiroki Itō,Japan,DF,27,24,1,0.009321820039965375,0.07605,0.0,0.0
Virgil van Dijk (captain),Netherlands,DF,34,92,12,0.06639068782829254,0.65875,2.0,0.0
Marten de Roon,Netherlands,MF,35,43,1,0.008950273739170582,0.09075,0.0,0.0
Lutsharel Geertruida,Netherlands,DF,25,21,0,0.00122657405893949,0.01175,0.0,0.0
Bart Verbruggen,Netherlands,GK,23,29,0,3.069270064280018e-05,0.0002,0.0,0.0
Kento Shiogai,Japan,FW,21,2,0,0.05152424167544498,0.43925,1.0,0.0
Junnosuke Suzuki,Japan,DF,22,6,0,0.003542291615186843,0.0295,0.0,0.0
Kaishū Sano,Japan,MF,25,13,0,0.00944611097383158,0.08165,0.0,0.0
Tomoki Hayakawa,Japan,GK,27,4,0,8.33480380043963e-05,0.0005,0.0,0.0
Takehiro Tomiyasu,Japan,DF,27,43,1,0.007321246789379198,0.0615,0.0,0.0
Nathan Aké,Netherlands,DF,31,59,5,0.026495832660478696,0.26425,1.0,0.0
Ghislain Konan,Ivory Coast,DF,30,54,0,0.0019066975853855963,0.01395,0.0,0.0
Ousmane Diomande,Ivory Coast,DF,22,15,1,0.010763222640363137,0.0792,0.0,0.0
Yahia Fofana,Ivory Coast,GK,25,35,0,5.171441884008797e-05,0.00045,0.0,0.0
Assan Ouédraogo,Germany,MF,20,1,1,0.036511441833141804,0.5822,2.0,0.0
Malick Thiaw,Germany,DF,24,5,0,0.0032027580555387546,0.05075,0.0,0.0
Felix Nmecha,Germany,MF,25,8,1,0.023059857999879037,0.3682,1.0,0.0
David Raum,Germany,DF,28,37,1,0.0070636514919019434,0.116,1.0,0.0
Alexander Nübel,Germany,GK,29,3,0,7.376048855180162e-05,0.00115,0.0,0.0
Parfait Guiagon,Ivory Coast,MF,25,5,0,0.012485338262821237,0.08465,0.0,0.0
Nathaniel Brown,Germany,DF,22,5,0,0.0032027580555387546,0.05285,0.0,0.0
Angelo Stiller,Germany,MF,25,8,0,0.010248825777724015,0.16195,1.0,0.0
Nico Schlotterbeck,Germany,DF,26,27,0,0.0014842049525667401,0.02505,0.0,0.0
Maximilian Beier,Germany,FW,23,9,0,0.027045512468993928,0.4346,1.0,0.0
Pascal Groß,Germany,MF,34,18,1,0.015108182827506953,0.2454,1.0,0.0
Oliver Baumann,Germany,GK,36,13,0,5.660688656301055e-05,0.0012,0.0,0.0
Jamie Leweling,Germany,MF,25,5,1,0.027383581374856355,0.4331,1.0,0.0
Aleksandar Pavlović,Germany,MF,22,11,1,0.01991533190898644,0.32235,1.0,0.0
Jonathan Tah,Germany,DF,30,47,1,0.007501804442219299,0.12475,1.0,0.0
Nadiem Amiri,Germany,MF,29,11,1,0.01991533190898644,0.32605,1.0,0.0
Bazoumana Touré,Ivory Coast,FW,20,6,2,0.0665884707350466,0.46665,1.0,0.0
Alban Lafont,Ivory Coast,GK,27,4,0,7.344316625188964e-05,0.0006,0.0,0.0
